F = 1e-07; Nimp = 10; Range: [1, 10] EN0 = None
i = 6.939999999999991, C = 496.8298022355991, a = 15.761183366670142, m = 19.0, p = 9.0, r = 15.51831176384852, D = 0.5343407938310704, EN0 = None
i = 6.9849999999999905, C = 500.05132112617576, a = 15.812199738274492, m = 19.0, p = 9.0, r = 15.618934822836009, D = 0.5612993776265414, EN0 = None
i = 7.0299999999999905, C = 503.2728400167524, a = 15.863052039515479, m = 19.0, p = 9.0, r = 15.719557881823501, D = 0.5880756441410375, EN0 = None
i = 7.07499999999999, C = 506.49435890732906, a = 15.913741843251842, m = 19.0, p = 9.0, r = 15.82018094081099, D = 0.6145443404288362, EN0 = None
i = 7.11999999999999, C = 509.7158777979057, a = 15.964270697371454, m = 19.0, p = 9.0, r = 15.920803999798482, D = 0.6405832588073217, EN0 = None
i = 7.16499999999999, C = 512.9373966884823, a = 16.014640125342847, m = 19.0, p = 9.0, r = 16.02142705878597, D = 0.6660750102497751, EN0 = None
i = 7.20999999999999, C = 516.158915579059, a = 16.064851626751164, m = 19.0, p = 9.0, r = 16.122050117773462, D = 0.6909087108650421, EN0 = None
i = 7.25499999999999, C = 519.3804344696357, a = 16.114906677819075, m = 19.0, p = 9.0, r = 16.222673176760953, D = 0.7149815393512459, EN0 = None
i = 7.29999999999999, C = 522.6019533602123, a = 16.164806731913195, m = 19.0, p = 9.0, r = 16.32329623574844, D = 0.73820012682179, EN0 = None
i = 7.34499999999999, C = 525.823472250789, a = 16.214553220036453, m = 19.0, p = 9.0, r = 16.42391929473593, D = 0.760481745306649, EN0 = None
i = 7.38999999999999, C = 529.0449911413656, a = 16.264147551306916, m = 19.0, p = 9.0, r = 16.524542353723422, D = 0.781755267347174, EN0 = None
i = 7.43499999999999, C = 532.2665100319423, a = 16.31359111342353, m = 19.0, p = 9.0, r = 16.625165412710913, D = 0.8019618761878341, EN0 = None
i = 7.47999999999999, C = 535.4880289225189, a = 16.362885273119147, m = 19.0, p = 9.0, r = 16.725788471698404, D = 0.8210555138361201, EN0 = None
i = 7.52499999999999, C = 538.7095478130956, a = 16.41203137660137, m = 19.0, p = 9.0, r = 16.826411530685895, D = 0.8390030623919648, EN0 = None
i = 7.56999999999999, C = 541.9310667036722, a = 16.461030749981486, m = 19.0, p = 9.0, r = 16.927034589673383, D = 0.8557842622061479, EN0 = None
i = 7.6149999999999896, C = 545.1525855942489, a = 16.509884699692012, m = 19.0, p = 9.0, r = 17.027657648660877, D = 0.8713913782782415, EN0 = None
i = 7.6599999999999895, C = 548.3741044848255, a = 16.558594512893077, m = 19.0, p = 9.0, r = 17.128280707648365, D = 0.8858286335351242, EN0 = None
i = 7.704999999999989, C = 551.5956233754022, a = 16.60716145786814, m = 19.0, p = 9.0, r = 17.228903766635856, D = 0.8991114339599567, EN0 = None
i = 7.749999999999989, C = 554.8171422659788, a = 16.65558678440929, m = 19.0, p = 9.0, r = 17.329526825623347, D = 0.9112654157385118, EN0 = None
i = 7.794999999999989, C = 558.0386611565555, a = 16.7038717241925, m = 19.0, p = 9.0, r = 17.430149884610834, D = 0.9223253484833326, EN0 = None
i = 7.839999999999989, C = 561.260180047132, a = 16.75201749114315, m = 19.0, p = 9.0, r = 17.53077294359833, D = 0.9323339310815225, EN0 = None
i = 7.884999999999989, C = 564.4816989377088, a = 16.80002528179212, m = 19.0, p = 9.0, r = 17.631396002585817, D = 0.9413405177552264, EN0 = None
i = 7.929999999999989, C = 567.7032178282855, a = 16.847896275622745, m = 19.0, p = 9.0, r = 17.732019061573308, D = 0.9493998115584099, EN0 = None
i = 7.974999999999989, C = 570.924736718862, a = 16.89563163540893, m = 19.0, p = 9.0, r = 17.8326421205608, D = 0.9565705608583321, EN0 = None
i = 8.019999999999989, C = 574.1462556094388, a = 16.943232507544696, m = 19.0, p = 9.0, r = 17.93326517954829, D = 0.962914291518334, EN0 = None
i = 8.064999999999989, C = 577.3677745000153, a = 16.990700022365402, m = 19.0, p = 9.0, r = 18.033888238535777, D = 0.9684941037080133, EN0 = None
i = 8.109999999999989, C = 580.589293390592, a = 17.038035294460922, m = 19.0, p = 9.0, r = 18.134511297523268, D = 0.973373557746872, EN0 = None
i = 8.154999999999989, C = 583.8108122811686, a = 17.085239422981005, m = 19.0, p = 9.0, r = 18.23513435651076, D = 0.9776156683835215, EN0 = None
i = 8.199999999999989, C = 587.0323311717453, a = 17.132313491933093, m = 19.0, p = 9.0, r = 18.33575741549825, D = 0.9812820216738755, EN0 = None
i = 8.244999999999989, C = 590.2538500623219, a = 17.179258570472737, m = 19.0, p = 9.0, r = 18.43638047448574, D = 0.9844320233864128, EN0 = None
i = 8.289999999999988, C = 593.4753689528986, a = 17.22607571318695, m = 19.0, p = 9.0, r = 18.53700353347323, D = 0.9871222828474281, EN0 = None
i = 8.334999999999988, C = 596.6968878434752, a = 17.27276596037061, m = 19.0, p = 9.0, r = 18.637626592460723, D = 0.9894061315291349, EN0 = None
i = 8.379999999999988, C = 599.9184067340519, a = 17.319330338296165, m = 19.0, p = 9.0, r = 18.73824965144821, D = 0.991333271625829, EN0 = None
