F = 1e-07; Nimp = 6; Range: [5.0, 11.0]
i = 8.539999999999978, C = 481.9434669099578, a = 15.52326426544942, m = 11.0, p = 5.0, r = 14.791713896638171, D = 0.21832739369367463
i = 8.599999999999977, C = 485.3294865837982, a = 15.577700192643942, m = 11.0, p = 5.0, r = 14.895636945092301, D = 0.23909690913708062
i = 8.659999999999975, C = 488.71550625763854, a = 15.63194655597374, m = 11.0, p = 5.0, r = 14.999559993546434, D = 0.2609944685632498
i = 8.719999999999976, C = 492.10152593147905, a = 15.686005322125181, m = 11.0, p = 5.0, r = 15.103483042000565, D = 0.2839749162604716
i = 8.779999999999976, C = 495.48754560531955, a = 15.739878424011406, m = 11.0, p = 5.0, r = 15.2074060904547, D = 0.30797922554461554
i = 8.839999999999975, C = 498.87356527915995, a = 15.793567761578762, m = 11.0, p = 5.0, r = 15.31132913890883, D = 0.33293451944931274
i = 8.899999999999974, C = 502.25958495300034, a = 15.847075202588652, m = 11.0, p = 5.0, r = 15.41525218736296, D = 0.3587543835210489
i = 8.959999999999974, C = 505.6456046268408, a = 15.900402583375692, m = 11.0, p = 5.0, r = 15.519175235817094, D = 0.3853394829847429
i = 9.019999999999975, C = 509.0316243006813, a = 15.953551709583062, m = 11.0, p = 5.0, r = 15.623098284271228, D = 0.41257848765088
i = 9.079999999999973, C = 512.4176439745216, a = 16.00652435687588, m = 11.0, p = 5.0, r = 15.727021332725357, D = 0.4403492982433736
i = 9.139999999999972, C = 515.8036636483621, a = 16.059322271633416, m = 11.0, p = 5.0, r = 15.830944381179489, D = 0.4685205577008053
i = 9.199999999999973, C = 519.1896833222025, a = 16.111947171620855, m = 11.0, p = 5.0, r = 15.934867429633622, D = 0.49695342085318034
i = 9.259999999999973, C = 522.5757029960431, a = 16.164400746641416, m = 11.0, p = 5.0, r = 16.038790478087755, D = 0.5255035461477772
i = 9.319999999999972, C = 525.9617226698834, a = 16.21668465916945, m = 11.0, p = 5.0, r = 16.142713526541886, D = 0.5540232642414264
i = 9.37999999999997, C = 529.3477423437239, a = 16.26880054496526, m = 11.0, p = 5.0, r = 16.246636574996014, D = 0.5823638707319929
i = 9.439999999999971, C = 532.7337620175643, a = 16.32075001367223, m = 11.0, p = 5.0, r = 16.35055962345015, D = 0.6103779844646695
i = 9.499999999999972, C = 536.1197816914048, a = 16.37253464939691, m = 11.0, p = 5.0, r = 16.454482671904284, D = 0.6379219090500539
i = 9.55999999999997, C = 539.5058013652452, a = 16.424156011272622, m = 11.0, p = 5.0, r = 16.55840572035841, D = 0.6648579337157933
i = 9.619999999999969, C = 542.8918210390856, a = 16.47561563400721, m = 11.0, p = 5.0, r = 16.662328768812543, D = 0.6910565105194316
i = 9.67999999999997, C = 546.277840712926, a = 16.526915028415406, m = 11.0, p = 5.0, r = 16.766251817266678, D = 0.7163982483002979
i = 9.73999999999997, C = 549.6638603867666, a = 16.578055681936387, m = 11.0, p = 5.0, r = 16.870174865720813, D = 0.740775669442012
i = 9.799999999999969, C = 553.0498800606069, a = 16.629039059136986, m = 11.0, p = 5.0, r = 16.97409791417494, D = 0.7640946833342732
i = 9.859999999999967, C = 556.4358997344474, a = 16.679866602201102, m = 11.0, p = 5.0, r = 17.078020962629072, D = 0.7862757400324066
i = 9.919999999999968, C = 559.8219194082878, a = 16.730539731405678, m = 11.0, p = 5.0, r = 17.181944011083207, D = 0.8072546385925836
