F = 1e-07; Nimp = 1000; Range: [0.5, 1.0]
i = 0.8550000000000003, C = 2006.1443385945329, a = 31.671314612710134, m = 1999.0, p = 999.0, r = 19.118381207623205, D = -inf
i = 0.8600000000000003, C = 2017.8761768319278, a = 31.7637858010654, m = 1999.0, p = 999.0, r = 19.2301846064982, D = -inf
i = 0.8650000000000003, C = 2029.6080150693228, a = 31.85598856627528, m = 1999.0, p = 999.0, r = 19.341988005373185, D = -inf
i = 0.8700000000000003, C = 2041.3398533067177, a = 31.947925232373994, m = 1999.0, p = 999.0, r = 19.453791404248175, D = -inf
i = 0.8750000000000003, C = 2053.0716915441126, a = 32.03959809005188, m = 1999.0, p = 999.0, r = 19.565594803123165, D = -inf
i = 0.8800000000000003, C = 2064.8035297815077, a = 32.131009397321364, m = 1999.0, p = 999.0, r = 19.677398201998155, D = -inf
i = 0.8850000000000003, C = 2076.5353680189023, a = 32.22216138016584, m = 1999.0, p = 999.0, r = 19.789201600873145, D = -inf
i = 0.8900000000000003, C = 2088.2672062562974, a = 32.3130562331722, m = 1999.0, p = 999.0, r = 19.901004999748135, D = -inf
i = 0.8950000000000004, C = 2099.9990444936925, a = 32.40369612014725, m = 1999.0, p = 999.0, r = 20.012808398623125, D = -inf
i = 0.9000000000000004, C = 2111.730882731087, a = 32.4940831747188, m = 1999.0, p = 999.0, r = 20.124611797498115, D = -inf
i = 0.9050000000000004, C = 2123.4627209684822, a = 32.58421950092163, m = 1999.0, p = 999.0, r = 20.236415196373102, D = -inf
i = 0.9100000000000004, C = 2135.1945592058773, a = 32.67410717376894, m = 1999.0, p = 999.0, r = 20.348218595248092, D = -inf
i = 0.9150000000000004, C = 2146.926397443272, a = 32.76374823980974, m = 1999.0, p = 999.0, r = 20.460021994123082, D = -inf
i = 0.9200000000000004, C = 2158.658235680667, a = 32.853144717672514, m = 1999.0, p = 999.0, r = 20.571825392998072, D = -inf
i = 0.9250000000000004, C = 2170.390073918062, a = 32.94229859859556, m = 1999.0, p = 999.0, r = 20.683628791873062, D = -inf
i = 0.9300000000000004, C = 2182.121912155457, a = 33.03121184694453, m = 1999.0, p = 999.0, r = 20.795432190748052, D = -inf
i = 0.9350000000000004, C = 2193.853750392852, a = 33.11988640071741, m = 1999.0, p = 999.0, r = 20.907235589623042, D = -inf
i = 0.9400000000000004, C = 2205.585588630247, a = 33.2083241720374, m = 1999.0, p = 999.0, r = 21.01903898849803, D = -inf
i = 0.9450000000000004, C = 2217.3174268676416, a = 33.29652704763397, m = 1999.0, p = 999.0, r = 21.13084238737302, D = -inf
i = 0.9500000000000004, C = 2229.0492651050367, a = 33.38449688931254, m = 1999.0, p = 999.0, r = 21.24264578624801, D = -inf
i = 0.9550000000000004, C = 2240.7811033424314, a = 33.47223553441293, m = 1999.0, p = 999.0, r = 21.354449185123, D = -inf
i = 0.9600000000000004, C = 2252.5129415798265, a = 33.55974479625721, m = 1999.0, p = 999.0, r = 21.46625258399799, D = -inf
i = 0.9650000000000004, C = 2264.2447798172216, a = 33.647026464586894, m = 1999.0, p = 999.0, r = 21.57805598287298, D = -inf
i = 0.9700000000000004, C = 2275.976618054616, a = 33.73408230599001, m = 1999.0, p = 999.0, r = 21.68985938174797, D = -inf
